SISTEMA;TARIFA;CIA;MES;FEE;P1.;P2.;P3.;P4.;P5;P6.
BALEARES;2.0TD;ACCIONA;01/06/2023;Cierzo;0,2127672 €;0,1659745 €;0,1427808 €;0,0000000 €;0,0000000 €;0,0000000 €
BALEARES;2.0TD;ACCIONA;01/05/2023;Cierzo;0,1905974 €;0,1437035 €;0,1200554 €;0,0000000 €;0,0000000 €;0,0000000 €
BALEARES;2.0TD;ACCIONA;01/04/2023;Cierzo;0,1900316 €;0,1431352 €;0,1194755 €;0,0000000 €;0,0000000 €;0,0000000 €
BALEARES;2.0TD;ACCIONA;01/03/2023;Cierzo;0,2087481 €;0,1619371 €;0,1386610 €;0,0000000 €;0,0000000 €;0,0000000 €
BALEARES;2.0TD;ACCIONA;01/02/2023;Cierzo;0,2604423 €;0,2138672 €;0,1916506 €;0,0000000 €;0,0000000 €;0,0000000 €
BALEARES;2.0TD;ACCIONA;01/01/2023;Cierzo;0,1851050 €;0,1381861 €;0,1144254 €;0,0000000 €;0,0000000 €;0,0000000 €
BALEARES;2.0TD;ACCIONA;01/12/2022;Cierzo;0,2173992 €;0,1706276 €;0,1475288 €;0,0000000 €;0,0000000 €;0,0000000 €
BALEARES;2.0TD;ACCIONA;01/11/2022;Cierzo;0,2393332 €;0,1926618 €;0,1700126 €;0,0000000 €;0,0000000 €;0,0000000 €
BALEARES;2.0TD;ACCIONA;01/10/2022;Cierzo;0,2530641 €;0,2064554 €;0,1840876 €;0,0000000 €;0,0000000 €;0,0000000 €
BALEARES;2.0TD;ACCIONA;01/09/2022;Cierzo;0,2649973 €;0,2184609 €;0,1964177 €;0,0000000 €;0,0000000 €;0,0000000 €
BALEARES;2.0TD;ACCIONA;01/08/2022;Cierzo;0,2812858 €;0,2348238 €;0,2131144 €;0,0000000 €;0,0000000 €;0,0000000 €
BALEARES;2.0TD;ACCIONA;01/07/2022;Cierzo;0,2668713 €;0,2203435 €;0,1983387 €;0,0000000 €;0,0000000 €;0,0000000 €
